company,listing_country,locality,industry,sector,reporting_year,listing_year,incorporation_year,net_prof,tot_asst,bk_eqt,market_value,com_1,com_2,com_3,com_4,com_5,com_6,com_7,com_8,com_9,com_10,com_11,com_12,com_13,com_14,com_15,com_16,com_17,com_18,com_19,com_20,com_21,com_22,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,hr_24,hr_25,hr_26,hr_27,hr_28,hr_29,hr_30,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,env_1,env_2,env_3,env_4,env_5,env_6,env_7,env_8,env_9,env_10,env_11,env_12,env_13,env_14,env_15,ene_1,ene_2,ene_3,ene_4,ene_5,ene_6,ene_7,emi_1,emi_2,emi_3,emi_4,emi_5,emi_6,emi_7,emi_8,emi_9,emi_10,oth_1,oth_2,oth_3,oth_4,oth_5,oth_6,social_committee
Cashbuild Limited,South Africa,Multinational,General Retailers,Consumer Services,2016,1986,1986,437000,3713242000,1 682 976 000,0,4,0,0,4,0,4,4,4,0,0,0,0,4,4,0,0,4,0,0,0,0,4,4,4,4,0,4,0,4,4,4,4,0,0,4,0,4,4,0,4,0,4,4,4,0,4,4,4,0,0,0,0,0,0,0,4,4,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,4,1
Cashbuild Limited,South Africa,Multinational,General Retailers,Consumer Services,2017,1986,1986,465000,4272507000,1 921 484000,0,4,0,0,4,0,4,5,4,4,0,0,0,0,4,0,0,4,0,0,0,0,4,5,5,4,0,4,4,4,4,5,5,0,0,4,0,4,4,0,4,0,4,4,0,0,5,4,0,0,0,0,0,0,0,0,5,4,5,0,0,0,4,0,5,0,0,0,4,0,0,0,0,0,5,4,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,4,1
Cashbuild Limited,South Africa,Multinational,General Retailers,Consumer Services,2018,1986,1986,421000,4273000,3 713000,0,4,0,0,4,0,4,4,4,4,4,0,0,0,4,0,0,4,0,0,0,0,4,4,4,0,0,4,4,4,4,4,4,0,0,0,0,5,4,0,4,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,4,4,4,0,0,4,4,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,4,1
Champion Brew. Plc.[Bls],Nigeria,Local,Beverages,Consumer Goods,2014,1983,1974,-754523000,9592381000,5870431000,50256000000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champion Brew. Plc.[Bls],Nigeria,Local,Beverages,Consumer Goods,2015,1983,1974,77140000,10329160000,7121637000,2206291183.07,4,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Champion Brew. Plc.[Bls],Nigeria,Local,Beverages,Consumer Goods,2016,1983,1974,530389000,9961240000,7670860000,19182265200,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Champion Brew. Plc.[Bls],Nigeria,Local,Beverages,Consumer Goods,2017,1983,1974,517562000,10088861000,8135460000,16285351680,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Champion Brew. Plc.[Bls],Nigeria,Local,Beverages,Consumer Goods,2018,1983,1974,-263087000,10487010000,7935532000,15580697040,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Chams Plc,Nigeria,Local,Software and Computer Services,Technology,2014,,1985,1404403000,9005416000,0,2348030000,4,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Chams Plc,Nigeria,Local,Software and Computer Services,Technology,2015,,1985,2519174000,6266834000,5076223000,2348030000,4,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Chams Plc,Nigeria,Local,Software and Computer Services,Technology,2016,,1985,1518613000,5491148000,5076223000,2348030000,4,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0
Chams Plc,Nigeria,Local,Software and Computer Services,Technology,2017,,1985,9284000,4864761000,3342103000,2348030000,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Chams Plc,Nigeria,Local,Software and Computer Services,Technology,2018,,1985,3402000,4598158000,3727899000,939212000,4,0,4,0,0,0,5,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Chobe Holdings,Botswana,Multinational,Travel and Leisure,Consumer Services,2014,1999,1983,15607000,247119000,112428000,295150818.6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chobe Holdings,Botswana,Multinational,Travel and Leisure,Consumer Services,2015,1999,1983,20667000,313405000,111077000,402478389,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chobe Holdings,Botswana,Multinational,Travel and Leisure,Consumer Services,2016,1999,1983,29953000,354226000,111151000,615344736.96,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
Chobe Holdings,Botswana,Multinational,Travel and Leisure,Consumer Services,2017,1999,1983,35850000,401936000,108591000,714622739.58,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0
Chobe Holdings,Botswana,Multinational,Travel and Leisure,Consumer Services,2018,1999,1983,71207000,1749471000,448399674,849676599,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
Choppies Enterprises,Botswana,Multinational,Food and Drug Retailers,Consumer Services,2014,2012,1986,49738000,2418696000,902385000,4931671848.6,4,0,4,0,0,4,0,5,0,0,0,4,0,4,0,0,5,4,0,4,0,4,4,0,0,0,4,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0
Choppies Enterprises,Botswana,Multinational,Food and Drug Retailers,Consumer Services,2015,2012,1986,52973000,2856135000,902176000,6212732320.21,4,0,4,0,0,0,0,5,0,0,0,0,0,5,0,0,5,4,0,4,0,5,4,0,0,0,4,0,0,4,4,4,0,4,4,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,4,0,4,1
Choppies Enterprises,Botswana,Multinational,Food and Drug Retailers,Consumer Services,2016,2012,1986,58056000,3421564000,932675000,5166513364,0,0,0,0,0,5,4,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,4,4,3,0,0,0,0,0,4,4,0,5,4,0,0,0,0,0,0,4,5,0,0,0,0,3,0,0,5,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,4,4,0,4,0,0,0,0,4,0,0,4,0,5,1
